僨儅儞僪幚愌僨乕僞,2018擭,04寧,06擔
婡婍斣崋,婡婍柤徧,扨埵,0:30,1:00,1:30,2:00,2:30,3:00,3:30,4:00,4:30,5:00,5:30,6:00,6:30,7:00,7:30,8:00,8:30,9:00,9:30,10:00,10:30,11:00,11:30,12:00,12:30,13:00,13:30,14:00,14:30,15:00,15:30,16:00,16:30,17:00,17:30,18:00,18:30,19:00,19:30,20:00,20:30,21:00,21:30,22:00,22:30,23:00,23:30,0:00,嵟彫抣,嵟戝抣,暯嬒抣,崌寁抣
 90103,搶番菔呓庴揹揹椡検丂丂丂丂丂丂丂,kWH   ,     360,     352,     360,     353,     355,     353,     351,     364,     363,     350,     341,     338,     353,     358,     389,     400,     449,     535,     656,     693,     730,     746,     773,     806,     812,     811,     804,     809,     806,     816,     794,     795,     758,     747,     693,     646,     617,     604,     562,     530,     504,     485,     442,     403,     382,     374,     370,     367,     338,     816,     543,   26059
 90104,惣番菔呓庴揹揹椡検丂丂丂丂丂丂丂,kWH   ,     146,     145,     146,     143,     146,     144,     146,     145,     146,     142,     149,     153,     151,     154,     163,     163,     185,     221,     276,     298,     319,     338,     353,     347,     354,     361,     347,     335,     328,     327,     323,     313,     307,     313,     322,     315,     317,     311,     293,     289,     280,     256,     203,     191,     169,     160,     156,     152,     142,     361,     238,   11441
100201,拞抧嬫曽柺揹椡検丂丂丂丂丂丂丂丂,kWH   ,   127.0,   116.0,   119.0,   119.0,   118.0,   118.0,   120.0,   127.0,   133.0,   119.0,   122.0,   119.0,   134.0,   136.0,   148.0,   159.0,   175.0,   200.0,   255.0,   268.0,   284.0,   279.0,   291.0,   307.0,   324.0,   317.0,   305.0,   305.0,   303.0,   314.0,   299.0,   296.0,   287.0,   279.0,   279.0,   246.0,   228.0,   220.0,   199.0,   187.0,   180.0,   168.0,   146.0,   135.0,   135.0,   127.0,   125.0,   125.0,   116.0,   324.0,   200.5,  9622.0
100202,惣抧嬫曽柺揹椡検丂丂丂丂丂丂丂丂,kWH   ,    66.0,    67.0,    67.0,    70.0,    67.0,    68.0,    68.0,    69.0,    66.0,    66.0,    55.0,    49.0,    50.0,    50.0,    60.0,    74.0,    88.0,   119.0,   172.0,   201.0,   212.0,   220.0,   229.0,   244.0,   247.0,   246.0,   239.0,   244.0,   246.0,   242.0,   237.0,   236.0,   222.0,   219.0,   180.0,   171.0,   164.0,   166.0,   155.0,   137.0,   130.0,   123.0,   104.0,    80.0,    70.0,    69.0,    68.0,    68.0,    49.0,   247.0,   136.7,  6560.0
100203,杒抧嬫曽柺揹椡検丂丂丂丂丂丂丂丂,kWH   ,    89.0,    88.0,    88.0,    86.0,    87.0,    86.0,    85.0,    87.0,    87.0,    87.0,    86.0,    88.0,    87.0,    87.0,    92.0,    90.0,    95.0,   100.0,   108.0,   119.0,   126.0,   132.0,   140.0,   144.0,   141.0,   137.0,   142.0,   147.0,   145.0,   146.0,   146.0,   147.0,   143.0,   139.0,   132.0,   129.0,   124.0,   118.0,   116.0,   116.0,   109.0,   107.0,   102.0,   100.0,    94.0,    91.0,    91.0,    90.0,    85.0,   147.0,   110.8,  5316.0
100205,6崋娰曽柺揹椡検 丂丂丂丂丂丂丂丂,kWH   ,     5.0,     5.0,     5.0,     5.0,     6.0,     5.0,     4.0,     5.0,     5.0,     5.0,     5.0,     4.0,     5.0,     5.0,     6.0,     5.0,     5.0,     6.0,     8.0,     8.0,     8.0,     9.0,    10.0,    10.0,    10.0,     9.0,    11.0,    10.0,    10.0,    12.0,    11.0,    11.0,    11.0,    10.0,    10.0,     9.0,    10.0,     9.0,     9.0,     8.0,     7.0,     7.0,     7.0,     6.0,     6.0,     6.0,     6.0,     6.0,     4.0,    12.0,     7.4,   355.0
100206,16崋娰曽柺揹椡検丂丂丂丂丂丂丂丂,kWH   ,    28.0,    28.0,    29.0,    28.0,    28.0,    28.0,    28.0,    28.0,    28.0,    28.0,    27.0,    28.0,    28.0,    26.0,    27.0,    27.0,    29.0,    36.0,    40.0,    43.0,    43.0,    43.0,    44.0,    44.0,    45.0,    45.0,    47.0,    45.0,    45.0,    45.0,    46.0,    49.0,    50.0,    47.0,    49.0,    47.0,    46.0,    45.0,    41.0,    38.0,    35.0,    37.0,    35.0,    33.0,    32.0,    30.0,    29.0,    30.0,    26.0,    50.0,    36.6,  1757.0
100208,2崋娰揹椡検 丂丂丂丂丂丂丂丂丂丂,kWH   ,    19.0,    16.0,    16.0,    16.0,    16.0,    15.0,    16.0,    22.0,    29.0,    16.0,    16.0,    15.0,    24.0,    22.0,    32.0,    41.0,    31.0,    35.0,    40.0,    46.0,    57.0,    43.0,    44.0,    45.0,    51.0,    51.0,    43.0,    40.0,    44.0,    57.0,    43.0,    40.0,    36.0,    37.0,    43.0,    38.0,    28.0,    28.0,    26.0,    24.0,    26.0,    31.0,    21.0,    16.0,    16.0,    15.0,    15.0,    14.0,    14.0,    57.0,    30.3,  1455.0
100209,1崋娰揹椡検 丂丂丂丂丂丂丂丂丂丂,kWH   ,     2.0,     2.0,     2.0,     2.0,     2.0,     2.0,     2.0,     2.0,     3.0,     2.0,     2.0,     2.0,     3.0,     3.0,     4.0,     4.0,     4.0,     9.0,    11.0,    11.0,    12.0,    15.0,    15.0,    15.0,    14.0,    14.0,    17.0,    18.0,    17.0,    17.0,    16.0,    17.0,    16.0,    16.0,    15.0,    12.0,    10.0,    11.0,    10.0,    10.0,     9.0,     8.0,     7.0,     6.0,     4.0,     4.0,     3.0,     3.0,     2.0,    18.0,     8.4,   405.0
100210,5崋娰揹椡検 丂丂丂丂丂丂丂丂丂丂,kWH   ,    14.0,    14.0,    14.0,    14.0,    13.0,    14.0,    13.0,    14.0,    14.0,    14.0,    13.0,    14.0,    14.0,    14.0,    14.0,    15.0,    16.0,    19.0,    22.0,    23.0,    22.0,    23.0,    27.0,    29.0,    30.0,    31.0,    33.0,    34.0,    33.0,    34.0,    35.0,    35.0,    35.0,    30.0,    29.0,    25.0,    24.0,    23.0,    22.0,    20.0,    21.0,    18.0,    18.0,    18.0,    18.0,    17.0,    18.0,    17.0,    13.0,    35.0,    21.3,  1021.0
